,Manufacturer##other##,Window Type##other##,Nominal Width Center Unit##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CUCA2036,Marvin Windows and Doors,Clad Ultimate Casement,20,36,DP50,2036 CSMT,CUCA2036
CUCA2040,Marvin Windows and Doors,Clad Ultimate Casement,20,40,DP50,2040 CSMT,CUCA2040
CUCA2044,Marvin Windows and Doors,Clad Ultimate Casement,20,44,DP50,2044 CSMT,CUCA2044
CUCA2048,Marvin Windows and Doors,Clad Ultimate Casement,20,48,DP50,2048 CSMT,CUCA2048
CUCA2054,Marvin Windows and Doors,Clad Ultimate Casement,20,54,DP50,2054 CSMT,CUCA2054
CUCA2056,Marvin Windows and Doors,Clad Ultimate Casement,20,56,DP50,2056 CSMT,CUCA2056
CUCA2060,Marvin Windows and Doors,Clad Ultimate Casement,20,60,DP50,2060 CSMT,CUCA2060
CUCA2064,Marvin Windows and Doors,Clad Ultimate Casement,20,64,DP50,2064 CSMT,CUCA2064
CUCA2072,Marvin Windows and Doors,Clad Ultimate Casement,20,72,DP50,2072 CSMT,CUCA2072
CUCA2078,Marvin Windows and Doors,Clad Ultimate Casement,20,78,DP50,2078 CSMT,CUCA2078
CUCA2084,Marvin Windows and Doors,Clad Ultimate Casement,20,84,DP50,2084 CSMT,CUCA2084
CUCA2092,Marvin Windows and Doors,Clad Ultimate Casement,20,92,DP50,2092 CSMT,CUCA2092
CUCA2096,Marvin Windows and Doors,Clad Ultimate Casement,20,96,DP50,2096 CSMT,CUCA2096

CUCA2414,Marvin Windows and Doors,Clad Ultimate Casement,24,14,DP50,2414 CSMT,CUCA2414
CUCA2416,Marvin Windows and Doors,Clad Ultimate Casement,24,16,DP50,2416 CSMT,CUCA2416
CUCA2418,Marvin Windows and Doors,Clad Ultimate Casement,24,18,DP50,2418 CSMT,CUCA2418
CUCA2420,Marvin Windows and Doors,Clad Ultimate Casement,24,20,DP50,2420 CSMT,CUCA2420
CUCA2424,Marvin Windows and Doors,Clad Ultimate Casement,24,24,DP50,2424 CSMT,CUCA2424
CUCA2428,Marvin Windows and Doors,Clad Ultimate Casement,24,28,DP50,2428 CSMT,CUCA2428
CUCA2432,Marvin Windows and Doors,Clad Ultimate Casement,24,32,DP50,2432 CSMT,CUCA2432
CUCA2436,Marvin Windows and Doors,Clad Ultimate Casement,24,36,DP50,2436 CSMT,CUCA2436
CUCA2440,Marvin Windows and Doors,Clad Ultimate Casement,24,40,DP50,2440 CSMT,CUCA2440
CUCA2444,Marvin Windows and Doors,Clad Ultimate Casement,24,44,DP50,2444 CSMT,CUCA2444
CUCA2448,Marvin Windows and Doors,Clad Ultimate Casement,24,48,DP50,2448 CSMT,CUCA2448
CUCA2454,Marvin Windows and Doors,Clad Ultimate Casement,24,54,DP50,2454 CSMT,CUCA2454
CUCA2456,Marvin Windows and Doors,Clad Ultimate Casement,24,56,DP50,2456 CSMT,CUCA2456
CUCA2460,Marvin Windows and Doors,Clad Ultimate Casement,24,60,DP50,2460 CSMT,CUCA2460
CUCA2464,Marvin Windows and Doors,Clad Ultimate Casement,24,64,DP50,2464 CSMT,CUCA2464
CUCA2472,Marvin Windows and Doors,Clad Ultimate Casement,24,72,DP50,2472 CSMT,CUCA2472
CUCA2478,Marvin Windows and Doors,Clad Ultimate Casement,24,78,DP50,2478 CSMT,CUCA2478
CUCA2484,Marvin Windows and Doors,Clad Ultimate Casement,24,84,DP50,2484 CSMT,CUCA2484
CUCA2492,Marvin Windows and Doors,Clad Ultimate Casement,24,92,DP50,2492 CSMT,CUCA2492
CUCA2496,Marvin Windows and Doors,Clad Ultimate Casement,24,96,DP50,2496 CSMT,CUCA2496

CUCA2614,Marvin Windows and Doors,Clad Ultimate Casement,26,14,DP50,2614 CSMT,CUCA2614
CUCA2616,Marvin Windows and Doors,Clad Ultimate Casement,26,16,DP50,2616 CSMT,CUCA2616
CUCA2618,Marvin Windows and Doors,Clad Ultimate Casement,26,18,DP50,2618 CSMT,CUCA2618
CUCA2620,Marvin Windows and Doors,Clad Ultimate Casement,26,20,DP50,2620 CSMT,CUCA2620
CUCA2624,Marvin Windows and Doors,Clad Ultimate Casement,26,24,DP50,2624 CSMT,CUCA2624
CUCA2628,Marvin Windows and Doors,Clad Ultimate Casement,26,28,DP50,2628 CSMT,CUCA2628
CUCA2632,Marvin Windows and Doors,Clad Ultimate Casement,26,32,DP50,2632 CSMT,CUCA2632
CUCA2636,Marvin Windows and Doors,Clad Ultimate Casement,26,36,DP50,2636 CSMT,CUCA2636
CUCA2640,Marvin Windows and Doors,Clad Ultimate Casement,26,40,DP50,2640 CSMT,CUCA2640
CUCA2644,Marvin Windows and Doors,Clad Ultimate Casement,26,44,DP50,2644 CSMT,CUCA2644
CUCA2648,Marvin Windows and Doors,Clad Ultimate Casement,26,48,DP50,2648 CSMT,CUCA2648
CUCA2654,Marvin Windows and Doors,Clad Ultimate Casement,26,54,DP50,2654 CSMT,CUCA2654
CUCA2656,Marvin Windows and Doors,Clad Ultimate Casement,26,56,DP50,2656 CSMT,CUCA2656
CUCA2660,Marvin Windows and Doors,Clad Ultimate Casement,26,60,DP50,2660 CSMT,CUCA2660
CUCA2664,Marvin Windows and Doors,Clad Ultimate Casement,26,64,DP50,2664 CSMT,CUCA2664
CUCA2672,Marvin Windows and Doors,Clad Ultimate Casement,26,72,DP50,2672 CSMT,CUCA2672
CUCA2678,Marvin Windows and Doors,Clad Ultimate Casement,26,78,DP50,2678 CSMT,CUCA2678
CUCA2684,Marvin Windows and Doors,Clad Ultimate Casement,26,84,DP50,2684 CSMT,CUCA2684
CUCA2692,Marvin Windows and Doors,Clad Ultimate Casement,26,92,DP50,2692 CSMT,CUCA2692
CUCA2696,Marvin Windows and Doors,Clad Ultimate Casement,26,96,DP50,2696 CSMT,CUCA2696

CUCA2814,Marvin Windows and Doors,Clad Ultimate Casement,28,14,DP50,2814 CSMT,CUCA2814
CUCA2816,Marvin Windows and Doors,Clad Ultimate Casement,28,16,DP50,2816 CSMT,CUCA2816
CUCA2818,Marvin Windows and Doors,Clad Ultimate Casement,28,18,DP50,2818 CSMT,CUCA2818
CUCA2820,Marvin Windows and Doors,Clad Ultimate Casement,28,20,DP50,2820 CSMT,CUCA2820
CUCA2824,Marvin Windows and Doors,Clad Ultimate Casement,28,24,DP50,2824 CSMT,CUCA2824
CUCA2828,Marvin Windows and Doors,Clad Ultimate Casement,28,28,DP50,2828 CSMT,CUCA2828
CUCA2832,Marvin Windows and Doors,Clad Ultimate Casement,28,32,DP50,2832 CSMT,CUCA2832
CUCA2836,Marvin Windows and Doors,Clad Ultimate Casement,28,36,DP50,2836 CSMT,CUCA2836
CUCA2840,Marvin Windows and Doors,Clad Ultimate Casement,28,40,DP50,2840 CSMT,CUCA2840
CUCA2844,Marvin Windows and Doors,Clad Ultimate Casement,28,44,DP50,2844 CSMT,CUCA2844
CUCA2848,Marvin Windows and Doors,Clad Ultimate Casement,28,48,DP50,2848 CSMT,CUCA2848
CUCA2854,Marvin Windows and Doors,Clad Ultimate Casement,28,54,DP50,2854 CSMT,CUCA2854
CUCA2856,Marvin Windows and Doors,Clad Ultimate Casement,28,56,DP50,2856 CSMT,CUCA2856
CUCA2860,Marvin Windows and Doors,Clad Ultimate Casement,28,60,DP50,2860 CSMT,CUCA2860
CUCA2864,Marvin Windows and Doors,Clad Ultimate Casement,28,64,DP50,2864 CSMT,CUCA2864
