,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Egress Window##other##,Design Pressure##other##,Description##other##,Model##other##
CUPCA1840,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,40,No,DP50,1840 CSMT,CUPCA1840
CUPCA1844,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,44,No,DP50,1844 CSMT,CUPCA1844
CUPCA1848,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,48,No,DP50,1848 CSMT,CUPCA1848
CUPCA1854,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,54,No,DP50,1854 CSMT,CUPCA1854
CUPCA1856,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,56,No,DP50,1856 CSMT,CUPCA1856
CUPCA1860,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,60,No,DP50,1860 CSMT,CUPCA1860
CUPCA1864,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,64,No,DP50,1864 CSMT,CUPCA1864
CUPCA1872,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,72,No,DP50,1872 CSMT,CUPCA1872
CUPCA1878,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,78,No,DP50,1878 CSMT,CUPCA1878
CUPCA1884,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,84,No,DP50,1884 CSMT,CUPCA1884
CUPCA1892,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,92,No,DP50,1892 CSMT,CUPCA1892
CUPCA1896,Marvin Windows and Doors,Clad Ultimate Push Out Casement,18,96,No,DP50,1896 CSMT,CUPCA1896

CUPCA2016,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,16,No,DP50,2016 CSMT,CUPCA2016
CUPCA2018,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,18,No,DP50,2018 CSMT,CUPCA2018
CUPCA2020,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,20,No,DP50,2020 CSMT,CUPCA2020
CUPCA2024,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,24,No,DP50,2024 CSMT,CUPCA2024
CUPCA2028,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,28,No,DP50,2028 CSMT,CUPCA2028
CUPCA2032,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,32,No,DP50,2032 CSMT,CUPCA2032
CUPCA2036,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,36,No,DP50,2036 CSMT,CUPCA2036
CUPCA2040,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,40,No,DP50,2040 CSMT,CUPCA2040
CUPCA2044,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,44,No,DP50,2044 CSMT,CUPCA2044
CUPCA2048,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,48,No,DP50,2048 CSMT,CUPCA2048
CUPCA2054,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,54,No,DP50,2054 CSMT,CUPCA2054
CUPCA2056,Marvin Windows and Doors,Clad Ultimate Push Out Casement,20,56,No,DP50,2056 CSMT,CUPCA2056
