,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYCAP5640,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,40,DP50,5640 FIXED,CCNTPRYCAP5640
CCNTPRYCAP5644,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,44,DP50,5644 FIXED,CCNTPRYCAP5644
CCNTPRYCAP5648,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,48,DP50,5648 FIXED,CCNTPRYCAP5648
CCNTPRYCAP5654,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,54,DP50,5654 FIXED,CCNTPRYCAP5654
CCNTPRYCAP5656,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,56,DP50,5656 FIXED,CCNTPRYCAP5656
CCNTPRYCAP5660,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,60,DP50,5660 FIXED,CCNTPRYCAP5660
CCNTPRYCAP5664,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,64,DP50,5664 FIXED,CCNTPRYCAP5664
CCNTPRYCAP5672,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,72,DP50,5672 FIXED,CCNTPRYCAP5672
CCNTPRYCAP5678,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,78,DP50,5678 FIXED,CCNTPRYCAP5678
CCNTPRYCAP5684,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,84,DP50,5684 FIXED,CCNTPRYCAP5684
CCNTPRYCAP5692,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,92,DP50,5692 FIXED,CCNTPRYCAP5692
CCNTPRYCAP5696,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,96,DP50,5696 FIXED,CCNTPRYCAP5696
CCNTPRYCAP6012,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,12,DP50,6012 FIXED,CCNTPRYCAP6012
CCNTPRYCAP6014,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,14,DP50,6014 FIXED,CCNTPRYCAP6014
CCNTPRYCAP6016,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,16,DP50,6016 FIXED,CCNTPRYCAP6016
CCNTPRYCAP6018,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,18,DP50,6018 FIXED,CCNTPRYCAP6018
CCNTPRYCAP6020,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,20,DP50,6020 FIXED,CCNTPRYCAP6020
CCNTPRYCAP6024,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,24,DP50,6024 FIXED,CCNTPRYCAP6024
CCNTPRYCAP6028,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,28,DP50,6028 FIXED,CCNTPRYCAP6028
CCNTPRYCAP6032,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,32,DP50,6032 FIXED,CCNTPRYCAP6032
CCNTPRYCAP6036,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,36,DP50,6036 FIXED,CCNTPRYCAP6036
CCNTPRYCAP6040,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,40,DP50,6040 FIXED,CCNTPRYCAP6040
CCNTPRYCAP6044,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,44,DP50,6044 FIXED,CCNTPRYCAP6044
CCNTPRYCAP6048,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,48,DP50,6048 FIXED,CCNTPRYCAP6048
CCNTPRYCAP6054,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,54,DP50,6054 FIXED,CCNTPRYCAP6054
CCNTPRYCAP6056,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,56,DP50,6056 FIXED,CCNTPRYCAP6056
CCNTPRYCAP6060,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,60,DP50,6060 FIXED,CCNTPRYCAP6060
CCNTPRYCAP6064,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,64,DP50,6064 FIXED,CCNTPRYCAP6064
CCNTPRYCAP6072,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,72,DP50,6072 FIXED,CCNTPRYCAP6072
CCNTPRYCAP6078,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,78,DP50,6078 FIXED,CCNTPRYCAP6078
CCNTPRYCAP6084,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,84,DP50,6084 FIXED,CCNTPRYCAP6084
CCNTPRYCAP6092,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,92,DP50,6092 FIXED,CCNTPRYCAP6092
CCNTPRYCAP6096,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,60,96,DP50,6096 FIXED,CCNTPRYCAP6096
CCNTPRYCAP6412,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,12,DP50,6412 FIXED,CCNTPRYCAP6412
CCNTPRYCAP6414,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,14,DP50,6414 FIXED,CCNTPRYCAP6414
CCNTPRYCAP6416,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,16,DP50,6416 FIXED,CCNTPRYCAP6416
