,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CUPCAP4818,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,18,DP50,4818 Fixed,CUPCAP4818
CUPCAP4820,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,20,DP50,4820 Fixed,CUPCAP4820
CUPCAP4824,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,24,DP50,4824 Fixed,CUPCAP4824
CUPCAP4828,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,28,DP50,4828 Fixed,CUPCAP4828
CUPCAP4832,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,32,DP50,4832 Fixed,CUPCAP4832
CUPCAP4836,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,36,DP50,4836 Fixed,CUPCAP4836
CUPCAP4840,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,40,DP50,4840 Fixed,CUPCAP4840
CUPCAP4844,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,44,DP50,4844 Fixed,CUPCAP4844
CUPCAP4848,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,48,DP50,4848 Fixed,CUPCAP4848
CUPCAP4854,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,54,DP50,4854 Fixed,CUPCAP4854
CUPCAP4856,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,56,DP50,4856 Fixed,CUPCAP4856
CUPCAP4860,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,60,DP50,4860 Fixed,CUPCAP4860
CUPCAP4864,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,64,DP50,4864 Fixed,CUPCAP4864
CUPCAP4872,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,72,DP50,4872 Fixed,CUPCAP4872
CUPCAP4878,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,78,DP50,4878 Fixed,CUPCAP4878
CUPCAP4884,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,84,DP50,4884 Fixed,CUPCAP4884
CUPCAP4892,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,92,DP50,4892 Fixed,CUPCAP4892
CUPCAP4896,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,48,96,DP50,4896 Fixed,CUPCAP4896

CUPCAP5612,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,56,12,DP50,5612 Fixed,CUPCAP5612
CUPCAP5614,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,56,14,DP50,5614 Fixed,CUPCAP5614
CUPCAP5616,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,56,16,DP50,5616 Fixed,CUPCAP5616
CUPCAP5618,Marvin Windows and Doors,Clad Ultimate Push Out Casement Picture Unit,56,18,DP50,5618 Fixed,CUPCAP5618
