,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##,Option Choice_Configuration##other##
CMOBFD18068-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,216,80,DP50,21680 BFLD DOOR,CMOBFD18068,15
CMOBFD18070-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,216,84,DP50,21684 BFLD DOOR,CMOBFD18070,15
CMOBFD18080-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,216,96,DP50,21696 BFLD DOOR,CMOBFD18080,15
CMOBFD18090-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,216,108,DP40,216108 BFLD DOOR,CMOBFD18090,15
CMOBFD180100-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,216,120,DP40,216120 BFLD DOOR,CMOBFD180100,15

CMOBFD21068-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,252,80,DP50,25280 BFLD DOOR,CMOBFD21068,15
CMOBFD21070-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,252,84,DP50,25284 BFLD DOOR,CMOBFD21070,15
CMOBFD21080-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,252,96,DP50,25296 BFLD DOOR,CMOBFD21080,15
CMOBFD21090-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,252,108,DP40,252108 BFLD DOOR,CMOBFD21090,15
CMOBFD210100-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,252,120,DP40,252120 BFLD DOOR,CMOBFD210100,15

CMOBFD17668-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,210,80,Not Rated,21080 BFLD DOOR,CMOBFD17668,19
CMOBFD17670-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,210,84,Not Rated,21084 BFLD DOOR,CMOBFD17670,19
CMOBFD17680-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,210,96,Not Rated,21096 BFLD DOOR,CMOBFD17680,19
CMOBFD17690-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,210,108,Not Rated,210108 BFLD DOOR,CMOBFD17690,19
CMOBFD176100-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,210,120,Not Rated,210120 BFLD DOOR,CMOBFD176100,19

CMOBFD21068-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,252,80,Not Rated,25280 BFLD DOOR,CMOBFD21068,19
CMOBFD21070-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,252,84,Not Rated,25284 BFLD DOOR,CMOBFD21070,19
CMOBFD21080-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,252,96,Not Rated,25296 BFLD DOOR,CMOBFD21080,19
CMOBFD21090-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,252,108,Not Rated,252108 BFLD DOOR,CMOBFD21090,19
CMOBFD210100-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,252,120,Not Rated,252120 BFLD DOOR,CMOBFD210100,19

CMOBFD24668-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,294,80,Not Rated,25280 BFLD DOOR,CMOBFD24668,19
CMOBFD24670-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,294,84,Not Rated,25284 BFLD DOOR,CMOBFD24670,19
CMOBFD24680-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,294,96,Not Rated,25296 BFLD DOOR,CMOBFD24680,19
CMOBFD24690-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,294,108,Not Rated,252108 BFLD DOOR,CMOBFD24690,19
