,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDP90120_PXXX/XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,3,108,144,90120 MS DOOR,CMMSDP90120_PXXX/XXXP
CMMSDP120120_PXXX/XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,3,144,144,120120 MS DOOR,CMMSDP120120_PXXX/XXXP
CMMSDP150120_PXXX/XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,3,180,144,150120 MS DOOR,CMMSDP150120_PXXX/XXXP
CMMSDP180120_PXXX/XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,3,216,144,180120 MS DOOR,CMMSDP180120_PXXX/XXXP
CMMSDP12070_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,144,84,12070 MS DOOR,CMMSDP12070_PXXXX/XXXXP
CMMSDP16070_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,192,84,16070 MS DOOR,CMMSDP16070_PXXXX/XXXXP
CMMSDP20070_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,240,84,20070 MS DOOR,CMMSDP20070_PXXXX/XXXXP
CMMSDP24070_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,288,84,24070 MS DOOR,CMMSDP24070_PXXXX/XXXXP
CMMSDP12080_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,144,96,12080 MS DOOR,CMMSDP12080_PXXXX/XXXXP
CMMSDP16080_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,192,96,16080 MS DOOR,CMMSDP16080_PXXXX/XXXXP
CMMSDP20080_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,240,96,20080 MS DOOR,CMMSDP20080_PXXXX/XXXXP
CMMSDP24080_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,288,96,24080 MS DOOR,CMMSDP24080_PXXXX/XXXXP
CMMSDP12090_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,144,108,12090 MS DOOR,CMMSDP12090_PXXXX/XXXXP
CMMSDP16090_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,192,108,16090 MS DOOR,CMMSDP16090_PXXXX/XXXXP
CMMSDP20090_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,240,108,20090 MS DOOR,CMMSDP20090_PXXXX/XXXXP
CMMSDP24090_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,288,108,24090 MS DOOR,CMMSDP24090_PXXXX/XXXXP
CMMSDP120100_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,144,120,120100 MS DOOR,CMMSDP120100_PXXXX/XXXXP
CMMSDP160100_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,192,120,160100 MS DOOR,CMMSDP160100_PXXXX/XXXXP
CMMSDP200100_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,240,120,200100 MS DOOR,CMMSDP200100_PXXXX/XXXXP
CMMSDP240100_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,288,120,240100 MS DOOR,CMMSDP240100_PXXXX/XXXXP
CMMSDP120120_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,144,144,120120 MS DOOR,CMMSDP120120_PXXXX/XXXXP
CMMSDP160120_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,192,144,160120 MS DOOR,CMMSDP160120_PXXXX/XXXXP
CMMSDP200120_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,240,144,200120 MS DOOR,CMMSDP200120_PXXXX/XXXXP
CMMSDP240120_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,288,144,240120 MS DOOR,CMMSDP240120_PXXXX/XXXXP
CMMSDP15070_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,180,84,15070 MS DOOR,CMMSDP15070_PXXXXX/XXXXXP
CMMSDP20070_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,240,84,20070 MS DOOR,CMMSDP20070_PXXXXX/XXXXXP
CMMSDP25070_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,300,84,25070 MS DOOR,CMMSDP25070_PXXXXX/XXXXXP
CMMSDP30070_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,360,84,30070 MS DOOR,CMMSDP30070_PXXXXX/XXXXXP
CMMSDP15080_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,180,96,15080 MS DOOR,CMMSDP15080_PXXXXX/XXXXXP
CMMSDP20080_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,240,96,20080 MS DOOR,CMMSDP20080_PXXXXX/XXXXXP
CMMSDP25080_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,300,96,25080 MS DOOR,CMMSDP25080_PXXXXX/XXXXXP
CMMSDP30080_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,360,96,30080 MS DOOR,CMMSDP30080_PXXXXX/XXXXXP
CMMSDP15090_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,180,108,15090 MS DOOR,CMMSDP15090_PXXXXX/XXXXXP
CMMSDP20090_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,240,108,20090 MS DOOR,CMMSDP20090_PXXXXX/XXXXXP
CMMSDP25090_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,300,108,25090 MS DOOR,CMMSDP25090_PXXXXX/XXXXXP
CMMSDP30090_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,360,108,30090 MS DOOR,CMMSDP30090_PXXXXX/XXXXXP
CMMSDP150100_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,180,120,150100 MS DOOR,CMMSDP150100_PXXXXX/XXXXXP
CMMSDP200100_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,240,120,200100 MS DOOR,CMMSDP200100_PXXXXX/XXXXXP
CMMSDP250100_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,300,120,250100 MS DOOR,CMMSDP250100_PXXXXX/XXXXXP
