,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDP48080_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,576,96,48080 MS DOOR,CMMSDP48080_PXXXX-XXXXP
CMMSDP24090_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,288,108,24090 MS DOOR,CMMSDP24090_PXXXX-XXXXP
CMMSDP32090_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,384,108,32090 MS DOOR,CMMSDP32090_PXXXX-XXXXP
CMMSDP40090_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,480,108,40090 MS DOOR,CMMSDP40090_PXXXX-XXXXP
CMMSDP48090_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,576,108,48090 MS DOOR,CMMSDP48090_PXXXX-XXXXP
CMMSDP240100_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,288,120,240100 MS DOOR,CMMSDP240100_PXXXX-XXXXP
CMMSDP320100_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,384,120,320100 MS DOOR,CMMSDP320100_PXXXX-XXXXP
CMMSDP400100_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,480,120,400100 MS DOOR,CMMSDP400100_PXXXX-XXXXP
CMMSDP480100_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,576,120,480100 MS DOOR,CMMSDP480100_PXXXX-XXXXP
CMMSDP240120_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,288,144,240120 MS DOOR,CMMSDP240120_PXXXX-XXXXP
CMMSDP320120_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,384,144,320120 MS DOOR,CMMSDP320120_PXXXX-XXXXP
CMMSDP400120_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,480,144,400120 MS DOOR,CMMSDP400120_PXXXX-XXXXP
