,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDS15070_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,180,84,15070 MS DOOR,CMMSDS15070_OXXXX/XXXXO
CMMSDS20070_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,240,84,20070 MS DOOR,CMMSDS20070_OXXXX/XXXXO
CMMSDS25070_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,300,84,25070 MS DOOR,CMMSDS25070_OXXXX/XXXXO
CMMSDS30070_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,360,84,30070 MS DOOR,CMMSDS30070_OXXXX/XXXXO
CMMSDS15080_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,180,96,15080 MS DOOR,CMMSDS15080_OXXXX/XXXXO
CMMSDS20080_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,240,96,20080 MS DOOR,CMMSDS20080_OXXXX/XXXXO
CMMSDS25080_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,300,96,25080 MS DOOR,CMMSDS25080_OXXXX/XXXXO
CMMSDS30080_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,360,96,30080 MS DOOR,CMMSDS30080_OXXXX/XXXXO
CMMSDS15090_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,180,108,15090 MS DOOR,CMMSDS15090_OXXXX/XXXXO
CMMSDS20090_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,240,108,20090 MS DOOR,CMMSDS20090_OXXXX/XXXXO
CMMSDS25090_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,300,108,25090 MS DOOR,CMMSDS25090_OXXXX/XXXXO
CMMSDS30090_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,360,108,30090 MS DOOR,CMMSDS30090_OXXXX/XXXXO
CMMSDS150100_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,180,120,150100 MS DOOR,CMMSDS150100_OXXXX/XXXXO
CMMSDS200100_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,240,120,200100 MS DOOR,CMMSDS200100_OXXXX/XXXXO
CMMSDS250100_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,300,120,250100 MS DOOR,CMMSDS250100_OXXXX/XXXXO
CMMSDS300100_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,360,120,300100 MS DOOR,CMMSDS300100_OXXXX/XXXXO
CMMSDS150120_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,180,144,150120 MS DOOR,CMMSDS150120_OXXXX/XXXXO
CMMSDS200120_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,240,144,200120 MS DOOR,CMMSDS200120_OXXXX/XXXXO
CMMSDS250120_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,300,144,250120 MS DOOR,CMMSDS250120_OXXXX/XXXXO
CMMSDS300120_OXXXX/XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,5,360,144,300120 MS DOOR,CMMSDS300120_OXXXX/XXXXO
CMMSDS18070_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,216,84,18070 MS DOOR,CMMSDS18070_OXXXXX/XXXXXO
CMMSDS24070_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,288,84,24070 MS DOOR,CMMSDS24070_OXXXXX/XXXXXO
CMMSDS30070_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,360,84,30070 MS DOOR,CMMSDS30070_OXXXXX/XXXXXO
CMMSDS36070_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,432,84,36070 MS DOOR,CMMSDS36070_OXXXXX/XXXXXO
CMMSDS18080_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,216,96,18080 MS DOOR,CMMSDS18080_OXXXXX/XXXXXO
CMMSDS24080_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,288,96,24080 MS DOOR,CMMSDS24080_OXXXXX/XXXXXO
CMMSDS30080_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,360,96,30080 MS DOOR,CMMSDS30080_OXXXXX/XXXXXO
CMMSDS36080_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,432,96,36080 MS DOOR,CMMSDS36080_OXXXXX/XXXXXO
CMMSDS18090_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,216,108,18090 MS DOOR,CMMSDS18090_OXXXXX/XXXXXO
CMMSDS24090_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,288,108,24090 MS DOOR,CMMSDS24090_OXXXXX/XXXXXO
