,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDS240120_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,288,144,240120 MS DOOR,CMMSDS240120_OXXX-XXXO
CMMSDS320120_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,384,144,320120 MS DOOR,CMMSDS320120_OXXX-XXXO
CMMSDS400120_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,480,144,400120 MS DOOR,CMMSDS400120_OXXX-XXXO
CMMSDS480120_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,576,144,480120 MS DOOR,CMMSDS480120_OXXX-XXXO
CMMSDS30070_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,360,84,30070 MS DOOR,CMMSDS30070_OXXXX-XXXXO
CMMSDS40070_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,480,84,40070 MS DOOR,CMMSDS40070_OXXXX-XXXXO
CMMSDS50070_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,600,84,50070 MS DOOR,CMMSDS50070_OXXXX-XXXXO
CMMSDS60070_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,720,84,60070 MS DOOR,CMMSDS60070_OXXXX-XXXXO
CMMSDS30080_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,360,96,30080 MS DOOR,CMMSDS30080_OXXXX-XXXXO
CMMSDS40080_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,480,96,40080 MS DOOR,CMMSDS40080_OXXXX-XXXXO
CMMSDS50080_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,600,96,50080 MS DOOR,CMMSDS50080_OXXXX-XXXXO
CMMSDS60080_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,720,96,60080 MS DOOR,CMMSDS60080_OXXXX-XXXXO
CMMSDS30090_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,360,108,30090 MS DOOR,CMMSDS30090_OXXXX-XXXXO
CMMSDS40090_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,480,108,40090 MS DOOR,CMMSDS40090_OXXXX-XXXXO
CMMSDS50090_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,600,108,50090 MS DOOR,CMMSDS50090_OXXXX-XXXXO
CMMSDS60090_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,720,108,60090 MS DOOR,CMMSDS60090_OXXXX-XXXXO
CMMSDS300100_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,360,120,300100 MS DOOR,CMMSDS300100_OXXXX-XXXXO
CMMSDS400100_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,480,120,400100 MS DOOR,CMMSDS400100_OXXXX-XXXXO
CMMSDS500100_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,600,120,500100 MS DOOR,CMMSDS500100_OXXXX-XXXXO
CMMSDS600100_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,720,120,600100 MS DOOR,CMMSDS600100_OXXXX-XXXXO
CMMSDS300120_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,360,144,300120 MS DOOR,CMMSDS300120_OXXXX-XXXXO
CMMSDS400120_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,480,144,400120 MS DOOR,CMMSDS400120_OXXXX-XXXXO
CMMSDS500120_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,600,144,500120 MS DOOR,CMMSDS500120_OXXXX-XXXXO
CMMSDS600120_OXXXX-XXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,10,720,144,600120 MS DOOR,CMMSDS600120_OXXXX-XXXXO
