,Radius##length##inches,Width##length##inches,DLO Width##length##inches,Height##length##inches,DLO Height##length##inches,Model##other##,Egress Note##other##
CUDHRT-NG4818,54,53 1/4,46 47/64,50 33/64,16 3/4,CUDHRT-NG4818,No
CUDHRT-NG4820,54,53 1/4,46 47/64,54 33/64,18 3/4,CUDHRT-NG4820,No
CUDHRT-NG4822,54,53 1/4,46 47/64,58 33/64,20 3/4,CUDHRT-NG4822,No
CUDHRT-NG4824,54,53 1/4,46 47/64,62 33/64,22 3/4,CUDHRT-NG4824,No
CUDHRT-NG4826,54,53 1/4,46 47/64,66 33/64,24 3/4,CUDHRT-NG4826,Yes
CUDHRT-NG4828,54,53 1/4,46 47/64,70 33/64,26 3/4,CUDHRT-NG4828,Yes
CUDHRT-NG4830,54,53 1/4,46 47/64,74 33/64,28 3/4,CUDHRT-NG4830,Yes
CUDHRT-NG4832,54,53 1/4,46 47/64,78 33/64,30 3/4,CUDHRT-NG4832,Yes
CUDHRT-NG4834,54,53 1/4,46 47/64,82 33/64,32 3/4,CUDHRT-NG4834,Yes
CUDHRT-NG4836,54,53 1/4,46 47/64,86 33/64,34 3/4,CUDHRT-NG4836,Yes
CUDHRT-NG4840,54,53 1/4,46 47/64,94 33/64,38 3/4,CUDHRT-NG4840,Yes
CUDHRT-NG4842,54,53 1/4,46 47/64,98 33/64,40 3/4,CUDHRT-NG4842,Yes
CUDHRT-NG4850,54,53 1/4,46 47/64,114 33/64,48 3/4,CUDHRT-NG4850,Yes
CUDHRT-NG5412,54,59 1/4,52 47/64,40 23/64,10 3/4,CUDHRT-NG5412,No
CUDHRT-NG5414,54,59 1/4,52 47/64,44 23/64,12 3/4,CUDHRT-NG5414,No
CUDHRT-NG5416,54,59 1/4,52 47/64,48 23/64,14 3/4,CUDHRT-NG5416,No
CUDHRT-NG5418,54,59 1/4,52 47/64,52 23/64,16 3/4,CUDHRT-NG5418,No
CUDHRT-NG5420,54,59 1/4,52 47/64,56 23/64,18 3/4,CUDHRT-NG5420,No
CUDHRT-NG5422,54,59 1/4,52 47/64,60 23/64,20 3/4,CUDHRT-NG5422,No
CUDHRT-NG5424,54,59 1/4,52 47/64,64 23/64,22 3/4,CUDHRT-NG5424,No
CUDHRT-NG5426,54,59 1/4,52 47/64,68 23/64,24 3/4,CUDHRT-NG5426,Yes
CUDHRT-NG5428,54,59 1/4,52 47/64,72 23/64,26 3/4,CUDHRT-NG5428,Yes
CUDHRT-NG5430,54,59 1/4,52 47/64,76 23/64,28 3/4,CUDHRT-NG5430,Yes
CUDHRT-NG5432,54,59 1/4,52 47/64,80 23/64,30 3/4,CUDHRT-NG5432,Yes
CUDHRT-NG5434,54,59 1/4,52 47/64,84 23/64,32 3/4,CUDHRT-NG5434,Yes
CUDHRT-NG5436,54,59 1/4,52 47/64,88 23/64,34 3/4,CUDHRT-NG5436,Yes
CUDHRT-NG5440,54,59 1/4,52 47/64,96 23/64,38 3/4,CUDHRT-NG5440,Yes
CUDHRT-NG5442,54,59 1/4,52 47/64,100 23/64,40 3/4,CUDHRT-NG5442,Yes
CUDHRT-NG5450,54,59 1/4,52 47/64,116 23/64,48 3/4,CUDHRT-NG5450,Yes
