,Radius##length##inches,Rough Width##length##inches,Width##length##inches,DLO Width##length##inches,Rough Height##length##inches,Height##length##inches,DLO Height##length##inches,Model##other##
CUSHRT-NG4420,108,50 1/4,49 1/4,42 47/64,59  7/8 ,59  3/8 ,18 3/4,CUSHRT-NG4420
CUSHRT-NG4422,108,50 1/4,49 1/4,42 47/64,63  7/8 ,63  3/8 ,20 3/4,CUSHRT-NG4422
CUSHRT-NG4424,108,50 1/4,49 1/4,42 47/64,67  7/8 ,67  3/8 ,22 3/4,CUSHRT-NG4424
CUSHRT-NG4426,108,50 1/4,49 1/4,42 47/64,71  7/8 ,71  3/8 ,24 3/4,CUSHRT-NG4426
CUSHRT-NG4428,108,50 1/4,49 1/4,42 47/64,75  7/8 ,75  3/8 ,26 3/4,CUSHRT-NG4428
CUSHRT-NG4430,108,50 1/4,49 1/4,42 47/64,79  7/8 ,79  3/8 ,28 3/4,CUSHRT-NG4430
CUSHRT-NG4432,108,50 1/4,49 1/4,42 47/64,83  7/8 ,83  3/8 ,30 3/4,CUSHRT-NG4432
CUSHRT-NG4434,108,50 1/4,49 1/4,42 47/64,87  7/8 ,87  3/8 ,32 3/4,CUSHRT-NG4434
CUSHRT-NG4436,108,50 1/4,49 1/4,42 47/64,91  7/8 ,91  3/8 ,34 3/4,CUSHRT-NG4436
CUSHRT-NG4440,108,50 1/4,49 1/4,42 47/64,99  7/8 ,99  3/8 ,38 3/4,CUSHRT-NG4440
CUSHRT-NG4442,108,50 1/4,49 1/4,42 47/64,103  7/8 ,103  3/8 ,40 3/4,CUSHRT-NG4442
CUSHRT-NG4450,108,50 1/4,49 1/4,42 47/64,119  7/8 ,119  7/8 ,48 3/4,CUSHRT-NG4450
CUSHRT-NG4812,108,54 1/4,53 1/4,46 47/64,46  1/16,45  9/16,10 3/4,CUSHRT-NG4812
CUSHRT-NG4814,108,54 1/4,53 1/4,46 47/64,50  1/16,49  9/16,12 3/4,CUSHRT-NG4814
CUSHRT-NG4816,108,54 1/4,53 1/4,46 47/64,54  1/16,53  9/16,14 3/4,CUSHRT-NG4816
