,Radius##length##inches,Rough Width##length##inches,Width##length##inches,DLO Width##length##inches,Rough Height##length##inches,Height##length##inches,DLO Height##length##inches,Model##other##,Egress Note##other##
CUDHRT-NG3618,21 1/8,42 1/4,41 1/4,34 47/64,64 5/8,64 1/8,16 3/4,CUDHRT-NG3618,No
CUDHRT-NG3620,21 1/8,42 1/4,41 1/4,34 47/64,68 5/8,68 1/8,18 3/4,CUDHRT-NG3620,No
CUDHRT-NG3622,21 1/8,42 1/4,41 1/4,34 47/64,72 5/8,72 1/8,20 3/4,CUDHRT-NG3622,No
CUDHRT-NG3624,21 1/8,42 1/4,41 1/4,34 47/64,76 5/8,76 1/8,22 3/4,CUDHRT-NG3624,No
CUDHRT-NG3626,21 1/8,42 1/4,41 1/4,34 47/64,80 5/8,80 1/8,24 3/4,CUDHRT-NG3626,Yes
CUDHRT-NG3628,21 1/8,42 1/4,41 1/4,34 47/64,84 5/8,84 1/8,26 3/4,CUDHRT-NG3628,Yes
CUDHRT-NG3630,21 1/8,42 1/4,41 1/4,34 47/64,88 5/8,88 1/8,28 3/4,CUDHRT-NG3630,Yes
CUDHRT-NG3632,21 1/8,42 1/4,41 1/4,34 47/64,92 5/8,92 1/8,30 3/4,CUDHRT-NG3632,Yes
CUDHRT-NG3634,21 1/8,42 1/4,41 1/4,34 47/64,96 5/8,96 1/8,32 3/4,CUDHRT-NG3634,Yes
CUDHRT-NG3636,21 1/8,42 1/4,41 1/4,34 47/64,100 5/8,100 1/8,34 3/4,CUDHRT-NG3636,Yes
CUDHRT-NG3640,21 1/8,42 1/4,41 1/4,34 47/64,108 5/8,108 1/8,38 3/4,CUDHRT-NG3640,Yes
CUDHRT-NG3642,21 1/8,42 1/4,41 1/4,34 47/64,112 5/8,112 1/8,40 3/4,CUDHRT-NG3642,Yes
CUDHRT-NG4012,23 1/8,46 1/4,45 1/4,38 47/64,54 5/8,54 1/8,10 3/4,CUDHRT-NG4012,No
CUDHRT-NG4014,23 1/8,46 1/4,45 1/4,38 47/64,58 5/8,58 1/8,12 3/4,CUDHRT-NG4014,No
CUDHRT-NG4016,23 1/8,46 1/4,45 1/4,38 47/64,62 5/8,62 1/8,14 3/4,CUDHRT-NG4016,No
CUDHRT-NG4018,23 1/8,46 1/4,45 1/4,38 47/64,66 5/8,66 1/8,16 3/4,CUDHRT-NG4018,No
CUDHRT-NG4020,23 1/8,46 1/4,45 1/4,38 47/64,70 5/8,70 1/8,18 3/4,CUDHRT-NG4020,No
CUDHRT-NG4022,23 1/8,46 1/4,45 1/4,38 47/64,74 5/8,74 1/8,20 3/4,CUDHRT-NG4022,No
CUDHRT-NG4024,23 1/8,46 1/4,45 1/4,38 47/64,78 5/8,78 1/8,22 3/4,CUDHRT-NG4024,No
CUDHRT-NG4026,23 1/8,46 1/4,45 1/4,38 47/64,82 5/8,82 1/8,24 3/4,CUDHRT-NG4026,Yes
CUDHRT-NG4028,23 1/8,46 1/4,45 1/4,38 47/64,86 5/8,86 1/8,26 3/4,CUDHRT-NG4028,Yes
CUDHRT-NG4030,23 1/8,46 1/4,45 1/4,38 47/64,90 5/8,90 1/8,28 3/4,CUDHRT-NG4030,Yes
CUDHRT-NG4032,23 1/8,46 1/4,45 1/4,38 47/64,94 5/8,94 1/8,30 3/4,CUDHRT-NG4032,Yes
CUDHRT-NG4034,23 1/8,46 1/4,45 1/4,38 47/64,98 5/8,98 1/8,32 3/4,CUDHRT-NG4034,Yes
CUDHRT-NG4036,23 1/8,46 1/4,45 1/4,38 47/64,102 5/8,102 1/8,34 3/4,CUDHRT-NG4036,Yes
CUDHRT-NG4040,23 1/8,46 1/4,45 1/4,38 47/64,110 5/8,110 1/8,38 3/4,CUDHRT-NG4040,Yes
CUDHRT-NG4042,23 1/8,46 1/4,45 1/4,38 47/64,114 5/8,114 1/8,40 3/4,CUDHRT-NG4042,Yes
CUDHRT-NG4412,25 1/8,50 1/4,49 1/4,42 47/64,56 5/8,56 1/8,10 3/4,CUDHRT-NG4412,No
CUDHRT-NG4414,25 1/8,50 1/4,49 1/4,42 47/64,60 5/8,60 1/8,12 3/4,CUDHRT-NG4414,No
CUDHRT-NG4416,25 1/8,50 1/4,49 1/4,42 47/64,64 5/8,64 1/8,14 3/4,CUDHRT-NG4416,No
CUDHRT-NG4418,25 1/8,50 1/4,49 1/4,42 47/64,68 5/8,68 1/8,16 3/4,CUDHRT-NG4418,No
CUDHRT-NG4420,25 1/8,50 1/4,49 1/4,42 47/64,72 5/8,72 1/8,18 3/4,CUDHRT-NG4420,No
CUDHRT-NG4422,25 1/8,50 1/4,49 1/4,42 47/64,76 5/8,76 1/8,20 3/4,CUDHRT-NG4422,No
CUDHRT-NG4424,25 1/8,50 1/4,49 1/4,42 47/64,80 5/8,80 1/8,22 3/4,CUDHRT-NG4424,No
CUDHRT-NG4426,25 1/8,50 1/4,49 1/4,42 47/64,84 5/8,84 1/8,24 3/4,CUDHRT-NG4426,Yes
CUDHRT-NG4428,25 1/8,50 1/4,49 1/4,42 47/64,88 5/8,88 1/8,26 3/4,CUDHRT-NG4428,Yes
CUDHRT-NG4430,25 1/8,50 1/4,49 1/4,42 47/64,92 5/8,92 1/8,28 3/4,CUDHRT-NG4430,Yes
CUDHRT-NG4432,25 1/8,50 1/4,49 1/4,42 47/64,96 5/8,96 1/8,30 3/4,CUDHRT-NG4432,Yes
CUDHRT-NG4434,25 1/8,50 1/4,49 1/4,42 47/64,100 5/8,100 1/8,32 3/4,CUDHRT-NG4434,Yes
CUDHRT-NG4436,25 1/8,50 1/4,49 1/4,42 47/64,104 5/8,104 1/8,34 3/4,CUDHRT-NG4436,Yes
CUDHRT-NG4440,25 1/8,50 1/4,49 1/4,42 47/64,112 5/8,112 1/8,38 3/4,CUDHRT-NG4440,Yes
CUDHRT-NG4442,25 1/8,50 1/4,49 1/4,42 47/64,116 5/8,116 1/8,40 3/4,CUDHRT-NG4442,Yes
CUDHRT-NG4812,27 1/8,54 1/4,53 1/4,46 47/64,58 5/8,58 1/8,10 3/4,CUDHRT-NG4812,No
CUDHRT-NG4814,27 1/8,54 1/4,53 1/4,46 47/64,62 5/8,62 1/8,12 3/4,CUDHRT-NG4814,No
CUDHRT-NG4816,27 1/8,54 1/4,53 1/4,46 47/64,66 5/8,66 1/8,14 3/4,CUDHRT-NG4816,No
CUDHRT-NG4818,27 1/8,54 1/4,53 1/4,46 47/64,70 5/8,70 1/8,16 3/4,CUDHRT-NG4818,No
CUDHRT-NG4820,27 1/8,54 1/4,53 1/4,46 47/64,74 5/8,74 1/8,18 3/4,CUDHRT-NG4820,No
CUDHRT-NG4822,27 1/8,54 1/4,53 1/4,46 47/64,78 5/8,78 1/8,20 3/4,CUDHRT-NG4822,No
CUDHRT-NG4824,27 1/8,54 1/4,53 1/4,46 47/64,82 5/8,82 1/8,22 3/4,CUDHRT-NG4824,No
CUDHRT-NG4826,27 1/8,54 1/4,53 1/4,46 47/64,86 5/8,86 1/8,24 3/4,CUDHRT-NG4826,Yes
CUDHRT-NG4828,27 1/8,54 1/4,53 1/4,46 47/64,90 5/8,90 1/8,26 3/4,CUDHRT-NG4828,Yes
